Potentiometric Levels (feet) for Wolfcamp Aquifer -- New Mexico and Texas       ¹
    85  3  0  -250                                                              
Easting     (X)     Northing     (Y)    Potentiometric Level                    
   42.8  127.6 1464.0
  -27.4   90.8 2553.0
   -1.2   84.9 2158.0
  -18.6   76.5 2455.0
   96.5   64.6 1756.0
  108.6   82.9 1702.0
   88.4   56.5 1805.0
   90.0   39.3 1797.0
   93.2   33.1 1714.0
   97.6   56.3 1466.0
   90.6   35.1 1729.0
   92.6   41.8 1638.0
   99.5   59.2 1736.0
  -24.1  184.8 1476.0
  -26.1  114.1 2200.0
   56.3   26.8 1999.0
   73.0   18.9 1680.0
   80.3   12.6 1806.0
   80.2   14.6 1682.0
   68.8  107.8 1306.0
   76.4   96.0 1722.0
   64.5  110.4 1437.0
   43.4   53.6 1828.0
   39.1   62.0 2118.0
  112.8   45.5 1725.0
   54.3  147.8 1606.0
    6.1   48.3 2648.0
   -3.8   40.4 2560.0
   -2.2   29.9 2544.0
   -2.4   33.8 2386.0
   -2.2   33.7 2400.0
   63.2   79.5 1757.0
  -10.8  175.1 1402.0
  -19.0  171.9 1364.0
  -38.6  158.5 1735.0
   83.1  159.1 1376.0
  -21.8   15.0 2729.0
  -23.6    9.4 2766.0
  -20.1   22.1 2736.0
  -16.6   17.3 2432.0
   29.9  175.1 1024.0
  100.9   23.0 1611.0
  101.3   23.0 1548.0
  103.3   20.3 1591.0
  -14.3   31.3 2540.0
  -18.1   30.2 2352.0
  -18.1   29.5 2528.0
   -9.9   38.1 2575.0
  -12.2   39.1 2468.0
   11.7   18.7 2646.0
   61.7   32.5 1739.0
   69.6   33.8 1674.0
   66.7   33.9 1868.0
  -36.7  150.9 1865.0
  -19.6  137.8 1777.0
  -21.3  131.8 1579.0
  -22.4  137.1 1771.0
   21.1  139.3 1408.0
    7.7  126.8 1527.0
   -8.3  107.8 2003.0
   56.7  171.3 1386.0
   59.0  164.5 1089.0
   69.0  177.2 1384.0
   70.9  161.4 1030.0
   73.0  163.0 1092.0
   59.7  170.1 1161.0
   61.9  174.3 1415.0
   63.7  173.9 1231.0
    5.6   79.1 2300.0
   18.2   77.4 2238.0
   85.7  139.8 1038.0
  105.1  132.0 1332.0
 -101.6   10.7 3510.0
 -145.2   28.0 3490.0
  -74.0   88.0 2594.0
  -94.5   86.6 2650.0
  -88.8   76.7 2533.0
 -120.3   80.8 3571.0
  -86.0   54.4 2811.0
  -72.8   43.1 2728.0
 -100.2   42.9 3136.0
  -78.8   40.8 2553.0
  -83.7   46.5 2798.0
  -95.6   35.8 2691.0
  -87.6   29.4 2946.0
